Unnamed: 0,state,action,pos
,  OOOX X ,0,3.6000000000000005
,XOOOOX X ,6,2.0
,O     XO ,2,1.875
,O X   XOO,5,2.25
,OOX  XXOO,4,2.0
,O   X O  ,3,76.9125
,O  XX OO ,2,3.45
,OOXXX OO ,5,8.0
, O  XO   ,7,0.9675
, O OXO X ,0,2.55
,XOOOXO X ,6,0.0
, XOO OX  ,7,0.75
,OOXX    O,4,0.75
,OOXXX  OO,6,2.0
,XO      O,5,1.3725
,XO   X OO,4,0.9
,     XOO ,0,1.6875
,X  O XOO ,4,2.25
,XO OXXOO ,8,5.0
,X O    O ,1,1.53
,XXO   OO ,3,0.0
,XXOX OOO ,4,0.0
, O   O X ,4,2.9025
, O  XOOX ,2,0.45
, OXOXOOX ,8,0.0
, O       ,2,18.493875
, OX    O ,3,0.9675
, OXX  OO ,5,1.5
,OOXX XOO ,8,3.0
,X     O O,4,1.3725
,X   XOO O,7,4.2
,X  OXOOXO,1,9.0
,O    X  O,2,0.5625
,O X  XO O,3,0.0
, O    X O,4,0.9675
, O  X XOO,0,0.45
,XOO X XOO,5,0.5
,     O   ,2,17.72775
, OX  O   ,3,0.81
, OXXOO   ,7,1.35
,OOXXOO X ,8,2.0
,  O   OX ,5,2.4975
,  OO XOX ,8,0.0
, OOO XOXX,4,0.0
,    OO  X,2,0.405
,  X OO OX,3,0.9
,O XXOO OX,1,2.0
, XO    O ,0,0.5625
,XXO O  O ,8,0.0
,XXOOO  OX,5,0.0
,   O X  O,7,0.5625
,   OOX XO,1,0.0
,   O   OX,6,0.9675
,  OO  XOX,0,0.75
,X OO OXOX,4,9.0
, O   X O ,4,9.772499999999996
, OXOXXOO ,0,0.0
,     O XO,1,0.0
, X  OO XO,3,0.0
,O  X  O  ,7,1.53
,O  X OOX ,1,0.75
,OX X OOXO,4,1.0
, O    X O,2,3.375
, OXO  X O,4,6.0
,    O  OX,0,1.6875
,X   OO OX,2,0.75
,O        ,8,18.878625
,O  O    X,4,1.6875
,O  OXO  X,7,3.0
, XO   O  ,4,3.375
, XO X OO ,3,0.45
, O  XO   ,2,0.405
, OX XOO  ,3,0.9
, OXXXOOO ,0,0.0
,  O OX   ,7,0.0
,  O OX XO,1,0.0
,O   X  O ,8,0.81
,O   X OOX,1,0.0
,OX  XOOOX,2,0.0
,OX OO  X ,6,0.0
,OXOOO XX ,5,0.0
,   O   OX,5,4.5600000000000005
,  OO X OX,1,0.45
, XOOOX OX,6,4.5
,  X    OO,1,1.125
, XX  O OO,6,2.25
, XXO OXOO,4,1.0
,OO   OX X,4,3.75
,OO OXOX X,7,10.0
,OO XX  O ,5,11.0
,    OX  O,7,0.0
,O X     O,1,0.5625
, XO   O  ,0,1.125
,XXOO  O  ,4,0.75
,XXOOX OO ,5,0.0
,O   OX   ,2,0.75
,O X OXO  ,8,4.0
, O O   X ,4,0.5625
, OOOX  X ,8,0.75
, OOOX OXX,0,8.0
, X     OO,5,1.7775
,OXO XX OO,6,1.0
,        O,1,17.32275
, X O    O,7,2.625
,OX O   XO,6,0.75
,OXOO  XXO,4,5.0
,X   OO   ,8,0.0
,X   OO OX,3,0.0
,   OO   X,2,0.0
,    X  OO,3,5.8125
,O  XX  OO,6,3.75
,OO XX XOO,2,7.0
, OO   X  ,5,0.405
,  O O X  ,5,2.0250000000000004
,  OOOXX  ,0,2.25
,X OOOXXO ,1,4.5
,  X    OO,3,0.5625
, OXX   OO,0,0.0
,XOXX O OO,4,0.0
,OX   O   ,7,4.6875
,OX   O XO,3,0.0
,   O OX  ,2,1.3125
, OXO OX  ,8,1.5
, OXO OXOX,4,8.0
, OO X    ,0,79.81500000000003
,XOOOX    ,7,0.75
,XOOOX OX ,8,9.0
, O  X  O ,0,0.5625
,XO OX  O ,5,4.65
,XO OXXOO ,2,0.0
,O O   X  ,4,1.935
, XOO     ,4,8.4975
, XOOX   O,7,6.0
,O O     X,4,0.9675
,    O O X,5,0.0
,    OXOOX,1,0.75
,OX X O O ,6,0.0
,OX X OXOO,4,0.0
, OO   X  ,3,0.0
, OOXO X  ,8,0.0
, OXO     ,0,1.125
,XOXO  O  ,4,0.45
,XOXOX O O,5,0.0
,O X     O,4,2.4975
,O X XO  O,7,1.95
,O XOXO XO,6,4.0
,O     OX ,5,0.0
,  OO X   ,6,0.405
, OOO XX  ,8,0.0
, OOO XXOX,0,0.0
,  O X   O,0,0.81
,XOO X   O,5,27.9
,XOOOXX  O,6,9.5
,  X   OO ,1,2.4675
, XXO  OO ,8,1.5
, XXOO OOX,0,4.0
,O  O   X ,4,2.4375
,O  OX  XO,2,0.0
,  O XO   ,7,1.3125
,  O XOOX ,3,0.0
,O OXXOOX ,8,0.0
,O  O  X  ,5,2.0925
,O  O XXO ,8,0.75
,OO O XXOX,4,0.0
,  OX   O ,4,9.089999999999998
,  OXX  OO,6,1.5
, OOXX XOO,5,5.0
