Unnamed: 0,state,action,pos
,XOO  XXO ,4,7.0
, O X     ,5,12.1640625
, O X O X ,8,4.40625
, O X OXXO,4,0.75
,O   X    ,2,4.546875
,O O X  X ,5,0.0
,O O XO XX,6,0.75
,    O X  ,8,11.484375
,X   O X O,1,2.4375
,O       X,7,3.9375
,O     XOX,4,1.125
,O  XO XOX,2,1.125
, OX   OX ,3,0.5625
,XOXO  OX ,8,0.75
,XOXOX OXO,5,8.0
,  OX     ,6,13.359375
,  OX  O X,0,7.125
,O OX XO X,7,0.75
,XOOOX  X ,8,7.125
,XOOOX XXO,5,20.0
,    X O  ,2,7.1015625
,X O X O  ,5,0.75
, OX X   O,5,0.5625
, OXXXO  O,6,1.125
,OO   X X ,4,0.75
,OO  OXXX ,2,4.0
,O    XXO ,3,0.0
,O  OXXXO ,8,0.0
, XXO X OO,6,2.0
,  OO  X X,5,0.0
,     X  O,2,2.671875
,     OX  ,2,3.65625
,  O  OX X,0,1.59375
,X  X OO  ,8,2.25
,XX X OO O,7,2.0
,XO       ,2,2.390625
,XOO    X ,3,5.0625
, XO    OX,0,1.6875
,OXO   XOX,5,45.75
,OXO XOXOX,3,33.5
,   X    O,0,3.2109375
,OX X    O,6,0.0
,OX XX O O,5,0.0
,XOO X    ,8,19.3125
,    O X  ,3,9.8671875
,   OO X X,7,2.4375
,   OOXXOX,0,0.75
,OX OOXXOX,2,8.5
,  O     X,1,19.640625
, OO    XX,6,7.5
, OO  XOXX,3,3.75
,XX  OO   ,2,5.0625
,XXO OO  X,6,7.0
,     OX  ,8,3.140625
,     OXXO,0,2.625
,O   XOXXO,1,1.5
,    X O  ,7,10.265625
, X  X OO ,0,1.78125
,OXX X OO ,8,4.0
, X   O   ,2,2.390625
, XOX O   ,0,0.5625
,OXOX O X ,6,1.5
,   OXO X ,1,2.25
, X   O OX,0,0.5625
,OX X O OX,6,0.375
,OX XXOOOX,2,19.5
,OXO     X,6,22.6875
,OXO   OXX,4,8.0
,  X  O   ,6,1.40625
, XX  OO  ,7,0.84375
, XXX OOO ,0,1.875
,OXXXXOOO ,8,9.0
,     O  X,2,6.609375
,  O  O XX,1,5.8125
, OO XO XX,3,0.0
,  OOX   X,6,3.75
,       XO,3,2.8125
,   OX  XO,0,2.0625
,O X X O  ,1,1.3125
,OOX X OX ,3,3.0
, XO   XO ,0,26.15625
,OXO X XO ,8,15.375
,  X  X OO,0,1.5
,OX   O X ,2,0.5625
,  O     X,5,10.125
,X O  O  X,7,1.6875
,XXO  O OX,6,1.5
,O  X     ,7,4.921875
,O  X  XO ,5,1.125
,O  X OXOX,1,3.0
,OO XXOXOX,2,18.0
,O X  OXXO,3,1.5
,OXXO OXXO,4,10.0
,X    O   ,4,2.671875
,X  XOO   ,1,0.0
,XO XOO X ,2,0.0
,    X   O,7,19.3125
, X  X  OO,5,1.3125
, X  XOXOO,3,2.25
,XX OXOXOO,2,10.0
,  O  X   ,4,15.4921875
,X O OX   ,1,2.4375
,XOO OX  X,3,0.75
, X  O XO ,5,1.03125
, X  OOXOX,0,1.5
,OX XOOXOX,2,8.5
,OX O    X,6,3.0
,    X   O,5,94.828125
,X   XO  O,6,3.65625
,XX  XOO O,2,14.0
,  OOXX   ,0,9.1875
,O OOXX  X,7,4.5
,OXOOXX OX,6,21.0
, OO  X  X,0,7.0
,  X     O,1,2.8828125
, OX    XO,4,0.28125
, OXXO  XO,5,0.75
,XOXXOO XO,6,5.5
,    X   O,3,6.46875
, XX  O O ,0,0.0
,OXX XO O ,3,0.75
,XO       ,5,4.5703125
,XO X O   ,6,0.5625
,XO X OOX ,8,2.25
,XOXX OOXO,4,10.0
,      O X,3,3.09375
,   O  OXX,1,1.125
, O OX OXX,5,0.75
,O   X    ,3,2.90625
,O  OX X  ,5,0.28125
,OX OXOX  ,2,0.75
,OXOOXOX X,7,17.0
,  X   O  ,0,21.1640625
,OXX   O  ,3,1.0
,    O X  ,2,11.4609375
,  O O XX ,1,14.25
, OO OXXX ,8,1.875
, O  X    ,3,3.515625
,XO OX    ,6,1.125
,     O X ,6,1.546875
,     OOXX,4,2.8125
,X   OOOXX,3,4.0
, X     O ,0,2.390625
,OX X   O ,6,2.8125
,OXXX  OO ,8,3.0
,X   O O X,5,1.125
,X X OOO X,1,3.0
,XOX OOOXX,3,7.0
,O X   O X,5,0.28125
,O XX OO X,1,0.375
,OOXXXOO X,7,13.0
,O   XO X ,1,0.5625
,OO  XOXX ,8,0.0
,X      O ,1,7.1484375
,XO  X  O ,5,0.0
,XO XXO O ,8,1.5
,O OX    X,1,21.0
,     XO  ,1,2.8125
, O   XO X,0,1.5
,OO  XXO X,2,2.0
,      XO ,2,56.1796875
,  O   XOX,0,1.96875
,O O  XXOX,4,1.125
, X XOXOO ,0,0.75
,OX XOXOOX,2,6.0
,  O O XX ,5,15.0
,  OXOOXX ,0,8.25
, O   XXO ,3,2.625
, O OXXXO ,0,0.75
,  OX     ,4,27.9140625
